Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-07-05,113.94,114.11,112.97,114.0,14207037.0,0.0,1.0,113.94,114.11,112.97,114.0,14207037.0
2016-07-06,113.36,116.79,112.97,116.7,24337586.0,0.0,1.0,113.36,116.79,112.97,116.7,24337586.0
2016-07-07,116.63,116.97,115.36,115.85,16630201.0,0.0,1.0,116.63,116.97,115.36,115.85,16630201.0
2016-07-08,116.43,117.5,115.85,117.24,18142597.0,0.0,1.0,116.43,117.5,115.85,117.24,18142597.0
2016-07-11,117.71,118.7,117.5,117.87,17711570.0,0.0,1.0,117.71,118.7,117.5,117.87,17711570.0
2016-07-12,118.63,118.72,117.57,117.93,15217700.0,0.0,1.0,118.63,118.72,117.57,117.93,15217700.0
2016-07-13,118.39,118.4,116.68,116.78,16207662.0,0.0,1.0,118.39,118.4,116.68,116.78,16207662.0
2016-07-14,117.5,117.64,116.7,117.29,14579736.0,0.0,1.0,117.5,117.64,116.7,117.29,14579736.0
2016-07-15,117.74,118.28,116.58,116.86,16645964.0,0.0,1.0,117.74,118.28,116.58,116.86,16645964.0
2016-07-18,117.32,119.61,116.89,119.37,20868367.0,0.0,1.0,117.32,119.61,116.89,119.37,20868367.0
2016-07-19,118.99,120.85,118.66,120.61,21541292.0,0.0,1.0,118.99,120.85,118.66,120.61,21541292.0
2016-07-20,121.25,122.2,120.56,121.92,20046452.0,0.0,1.0,121.25,122.2,120.56,121.92,20046452.0
2016-07-21,121.92,122.1,120.25,120.61,17801663.0,0.0,1.0,121.92,122.1,120.25,120.61,17801663.0
2016-07-22,119.9,121.01,119.31,121.0,18422410.0,0.0,1.0,119.9,121.01,119.31,121.0,18422410.0
2016-07-25,121.39,121.85,117.78,121.63,18487449.0,0.0,1.0,121.39,121.85,117.78,121.63,18487449.0
2016-07-26,122.0,122.07,120.75,121.22,17611964.0,0.0,1.0,122.0,122.07,120.75,121.22,17611964.0
2016-07-27,122.42,125.0,121.51,123.34,52654239.0,0.0,1.0,122.42,125.0,121.51,123.34,52654239.0
2016-07-28,127.52,128.33,123.63,125.0,78955758.0,0.0,1.0,127.52,128.33,123.63,125.0,78955758.0
2016-07-29,124.65,125.84,123.71,123.94,35058803.0,0.0,1.0,124.65,125.84,123.71,123.94,35058803.0
2016-08-01,123.85,124.58,122.86,124.31,25006850.0,0.0,1.0,123.85,124.58,122.86,124.31,25006850.0
2016-08-02,124.06,124.8,122.07,123.09,23968414.0,0.0,1.0,124.06,124.8,122.07,123.09,23968414.0
2016-08-03,123.09,123.92,122.31,122.51,18525332.0,0.0,1.0,123.09,123.92,122.31,122.51,18525332.0
2016-08-04,122.94,124.79,122.51,124.36,21065974.0,0.0,1.0,122.94,124.79,122.51,124.36,21065974.0
2016-08-05,124.98,125.835,124.6184,125.15,20184035.0,0.0,1.0,124.98,125.835,124.6184,125.15,20184035.0
2016-08-08,125.25,125.45,124.55,125.26,15233929.0,0.0,1.0,125.25,125.45,124.55,125.26,15233929.0
2016-08-09,125.34,126.09,124.53,125.06,19620967.0,0.0,1.0,125.34,126.09,124.53,125.06,19620967.0
2016-08-10,125.07,125.48,124.54,124.88,10670148.0,0.0,1.0,125.07,125.48,124.54,124.88,10670148.0
2016-08-11,125.2,125.38,124.75,124.9,11729519.0,0.0,1.0,125.2,125.38,124.75,124.9,11729519.0
2016-08-12,124.7,125.0,124.18,124.88,12158955.0,0.0,1.0,124.7,125.0,124.18,124.88,12158955.0
2016-08-15,124.91,124.92,123.7,123.9,19295130.0,0.0,1.0,124.91,124.92,123.7,123.9,19295130.0
2016-08-16,123.5,123.92,122.78,123.3,14222410.0,0.0,1.0,123.5,123.92,122.78,123.3,14222410.0
2016-08-17,123.66,124.38,122.85,124.37,13794179.0,0.0,1.0,123.66,124.38,122.85,124.37,13794179.0
2016-08-18,124.01,124.26,123.64,123.91,12400816.0,0.0,1.0,124.01,124.26,123.64,123.91,12400816.0
2016-08-19,123.6,124.157,123.28,123.56,11688265.0,0.0,1.0,123.6,124.157,123.28,123.56,11688265.0
2016-08-22,123.33,124.83,123.11,124.15,14386361.0,0.0,1.0,123.33,124.83,123.11,124.15,14386361.0
2016-08-23,124.51,125.09,124.25,124.37,13309452.0,0.0,1.0,124.51,125.09,124.25,124.37,13309452.0
2016-08-24,124.47,124.69,123.09,123.48,12243719.0,0.0,1.0,124.47,124.69,123.09,123.48,12243719.0
2016-08-25,123.12,124.37,123.1,123.89,10730811.0,0.0,1.0,123.12,124.37,123.1,123.89,10730811.0
2016-08-26,124.05,125.19,123.91,124.96,17504825.0,0.0,1.0,124.05,125.19,123.91,124.96,17504825.0
2016-08-29,124.35,126.73,124.35,126.54,15925900.0,0.0,1.0,124.35,126.73,124.35,126.54,15925900.0
2016-08-30,126.6,126.6,125.15,125.84,17804286.0,0.0,1.0,126.6,126.6,125.15,125.84,17804286.0
2016-08-31,125.6,126.22,125.1,126.12,14200636.0,0.0,1.0,125.6,126.22,125.1,126.12,14200636.0
2016-09-01,126.38,126.63,125.6,126.17,13536125.0,0.0,1.0,126.38,126.63,125.6,126.17,13536125.0
2016-09-02,126.85,126.86,126.0,126.51,12118773.0,0.0,1.0,126.85,126.86,126.0,126.51,12118773.0
